Tm,Tr,Tc,test#1,test#2,test#3,test#4,test#5,test#6,test#7,test#8,test#9,test#10,MIN Kernel Time,Block Size,GFLOPS
96,6,16,237.879,255.296,241.193,248.297,252.044,240.945,259.027,247.64,253.085,255.09,237.879,9216,0.564226888
82,10,12,240.113,242.576,265.828,277.156,237.88,249.545,263.592,253.578,243.452,246.052,237.88,9840,0.564224517
118,8,4,244.917,309.319,283.368,300.448,252.666,245.291,237.883,245.546,250.465,302.825,237.883,3776,0.564217401
100,16,16,238.15,259.506,243.9,256.372,237.98,237.885,261.069,239.083,296.166,240.955,237.885,25600,0.564212657
120,10,5,237.885,260.586,265.381,264.977,267.607,239.089,254.332,259.893,256.099,242.71,237.885,6000,0.564212657
102,8,12,245.139,259.642,241.385,265.259,237.886,291.191,314.665,281.08,243.681,252.773,237.886,9792,0.564210286
102,6,14,237.887,259.293,290.625,286.426,258.818,279.056,266.193,275.939,250.043,239.719,237.887,8568,0.564207914
66,6,5,321.615,252.758,291.663,268.867,247.279,237.889,253.998,244.351,249.676,240.714,237.889,1980,0.56420317
72,5,16,259.053,261.619,265.335,248.842,256.808,294.087,261.818,243.409,250.18,237.892,237.892,5760,0.564196055
105,10,16,251.735,259.236,247.411,261.097,263.932,249.851,248.429,258.929,237.894,269.291,237.894,16800,0.564191312
65,4,7,293.865,256.29,293.518,248.294,237.912,258.308,252.348,317.077,369.227,287.511,237.912,1820,0.564148626
106,8,6,254.074,237.913,264.424,249.782,241.563,252.531,251.858,250.015,255.459,256.041,237.913,5088,0.564146255
102,14,6,271.785,259.556,254.607,251.742,276.573,266.758,237.914,254.897,305.455,330.342,237.914,8568,0.564143884
109,7,6,308.306,252.297,287.913,245.164,286.337,341.291,334.184,237.914,284.974,307.681,237.914,4578,0.564143884
103,10,12,249.138,242.962,303.968,237.917,268.09,238.432,310.87,245.409,247.972,303.307,237.917,12360,0.56413677
97,9,5,271.713,255.008,302.002,276.886,286.242,237.925,267.631,271.959,279.301,298.862,237.925,4365,0.564117802
98,16,14,244.601,249.646,313.449,252.852,237.928,297.558,279.954,284.781,248.385,250.401,237.928,21952,0.564110689
65,11,15,280.177,297.258,281.985,269.823,246.306,252.646,250.754,250.096,237.935,255.62,237.935,10725,0.564094093
121,9,8,237.935,244.144,298.454,246.3,254.378,361.714,243.015,256.313,245.675,288.958,237.935,8712,0.564094093
77,14,16,288.784,272.994,256.263,259.195,255.548,252.74,237.939,254.201,245.756,259.144,237.939,17248,0.56408461
67,9,16,339.291,266.541,260.484,237.943,248.252,267.498,252.313,319.377,253.83,248.877,237.943,9648,0.564075127
105,16,13,258.091,241.179,267.552,274.604,313.57,250.374,255.914,237.943,247.079,248.65,237.943,21840,0.564075127
105,13,7,245.706,250.678,251.503,305.458,266.119,248.641,285.856,258.384,284.951,237.944,237.944,9555,0.564072757
108,9,12,263.071,248.763,273.98,237.957,292.227,256.131,244.518,258.308,239.532,255.875,237.957,11664,0.56404194
114,7,16,242.137,252.385,253.138,257.845,244.342,288.82,266.157,237.957,251.593,240.072,237.957,12768,0.56404194
94,13,14,314.072,250.139,294.707,283.308,238.893,250.513,237.964,250.205,279.371,240.087,237.964,17108,0.564025348
118,7,11,312.215,248.488,237.966,250.4,258.287,257.661,244.87,255.815,244.87,255.988,237.966,9086,0.564020608
33,14,14,337.621,237.967,323.401,244.905,296.955,338.087,267.547,245.289,302.369,324.691,237.967,6468,0.564018238
100,16,6,240.941,258.323,239.161,249.983,251.754,254.15,246.28,252.326,237.969,250.731,237.969,9600,0.564013498
99,13,12,249.257,244.278,263.427,244.918,261.509,237.977,245.196,241.066,309.252,280.442,237.977,15444,0.563994537
93,12,9,269.679,297.001,250.589,351.638,300.683,260.935,237.978,259.306,269.88,248.505,237.978,10044,0.563992167
74,7,9,249.908,237.979,261.915,246.728,279.734,363.322,319.631,335.796,316.578,361.031,237.979,4662,0.563989797
96,13,16,238.879,288.99,334.378,262.903,249.937,257.7,237.983,260.082,252.641,281.823,237.983,19968,0.563980318
113,5,11,257.165,243.166,255.411,237.984,279.722,246.343,280.38,257.993,268.088,266.493,237.984,6215,0.563977948
101,8,15,259.936,244.691,272.462,242.171,252.313,240.121,269.093,237.986,255.041,306.101,237.986,12120,0.563973209
121,15,10,250.898,239.712,262.667,244.691,262.194,254.221,262.314,237.997,251.15,265.985,237.997,18150,0.563947142
79,8,16,266.725,247.203,255.923,237.998,294.928,279.844,249.796,262.074,266.174,255.743,237.998,10112,0.563944773
100,5,12,237.998,306.993,258.857,263.454,240.587,250.522,242.208,261.903,240.888,239.575,237.998,6000,0.563944773
102,7,9,294.287,284.201,259.359,240.018,299.581,246.676,237.999,257.697,241.737,257.05,237.999,6426,0.563942403
100,14,6,241.917,259.202,242.654,254.118,238.002,259.977,245.456,253.193,279.194,310.539,238.002,8400,0.563935295
