Tm,Tr,Tc,test#1,test#2,test#3,test#4,test#5,test#6,test#7,test#8,test#9,test#10,MIN Kernel Time,GFLOPS
18,6,11,241.415,235.165,233.866,229.909,217.932,217.602,224.84,217.913,218.095,217.772,217.602,0.6168037426126598
18,6,12,247.408,236.556,243.948,242.801,246.222,236.485,236.784,236.714,236.531,236.525,236.485,0.567552817303423
18,6,13,266.605,262.02,255.335,255.324,255.127,255.204,263.177,254.947,255.546,262.239,254.947,0.5264534511094463
18,6,14,285.212,285.673,273.783,274.068,273.873,273.854,273.98,274.052,273.604,274.022,273.604,0.49055469949269753
18,6,15,302.967,300.248,292.086,293.012,300.013,298.371,292.656,306.408,300.596,296.484,292.086,0.45951441698677786
18,6,16,176.898,166.624,167.164,166.057,168.085,165.915,168.707,166.393,168.498,165.681,165.681,0.810097283333635
18,7,4,214.542,203.658,202.987,203.043,203.073,202.747,202.934,203.409,203.188,209.972,202.747,0.6619961232471997
18,7,5,257.629,246.484,253.68,246.614,246.382,246.065,246.398,247.707,246.732,246.437,246.065,0.5454563956678113
18,7,6,228.293,218.031,218.224,225.759,217.994,217.528,217.881,217.942,217.992,217.543,217.528,0.6170135706667648
18,7,7,261.058,250.422,250.474,250.457,250.321,268.664,254.378,259.205,252.402,252.705,250.321,0.5361824537294114
18,7,8,206.101,190.264,201.519,195.595,189.021,188.926,189.429,188.936,188.757,188.897,188.757,0.7110609301906683
18,7,9,221.174,210.623,222.831,221.509,210.352,210.678,210.68,217.198,210.644,210.849,210.352,0.6380625237696812
18,7,10,245.343,238.796,232.879,232.655,238.895,232.384,232.507,232.394,239.047,232.486,232.384,0.5775687138529332
18,7,11,270.394,272.678,254.352,254.414,254.239,254.06,254.675,254.78,254.026,253.996,253.996,0.5284245736153326
18,7,12,288.433,276.049,276.378,312.329,299.496,289.845,281.357,276.472,275.915,275.577,275.577,0.48704256160710074
18,7,13,298.201,297.848,298.131,299.914,299.923,298.043,297.502,297.727,298.245,297.56,297.502,0.45114899395634317
18,7,14,319.591,319.88,319.813,321.422,321.953,320.787,320.07,319.664,320.185,318.993,318.993,0.4207544616966517
18,7,15,340.747,341.848,341.381,343.484,341.007,340.551,340.904,340.602,340.921,341.863,340.551,0.39411931839871267
18,7,16,204.35,190.978,217.339,206.3,201.73,200.241,195.602,194.319,193.37,201.711,190.978,0.702791567615118
18,8,4,167.088,162.005,162.06,155.209,155.003,155.677,155.388,154.886,162.448,163.897,154.886,0.8665581653603295
18,8,5,201.555,187.594,187.971,194.681,193.977,187.164,187.225,187.109,188.363,187.23,187.109,0.717323741776184
18,8,6,178.03,165.761,173.544,172.843,173.561,165.295,165.71,165.628,177.052,165.536,165.295,0.8119890377809371
18,8,7,204.427,201.479,199.513,190.933,191.103,190.924,190.646,190.642,190.696,190.908,190.642,0.704030213698975
