Tm,Tr,Tc,test#1,test#2,test#3,test#4,test#5,test#6,test#7,test#8,test#9,test#10,MIN Kernel Time,GFLOPS
36,8,7,264.907,265.031,268.685,265.535,276.667,266.604,322.53,323.386,266.161,266.535,264.907,0.5066598013642524
36,8,8,266.694,266.232,265.899,264.747,266.31,266.014,321.833,317.253,266.017,266.056,264.747,0.506966001503322
36,8,9,264.777,266.029,268.556,266.022,265.78,264.974,266.038,265.126,274.165,266.047,264.777,0.5069085607888903
36,8,10,318.876,311.498,266.063,266.291,322.36,322.61,265.536,265.998,266.308,266.069,265.536,0.5054596288262232
36,8,11,266.04,266.114,267.369,266.109,265.538,266.874,265.109,265.483,265.831,265.035,265.035,0.5064151074386402
36,8,12,265.034,266.106,266.306,265.879,269.169,266.141,265.558,266.848,267.57,265.633,265.034,0.5064170181938922
36,8,13,296.092,267.148,266.289,264.866,265.218,266.196,269.046,264.88,264.961,266.578,264.866,0.506738229897382
36,8,14,265.707,265.944,266.148,266.11,266.08,266.11,265.062,321.866,265.203,265.969,265.062,0.5063635224966234
36,8,15,266.006,265.97,265.29,265.996,266.036,265.032,264.722,264.817,265.339,264.926,264.722,0.5070138787104964
36,8,16,264.79,265.674,266.172,264.897,265.956,264.83,265.914,264.9,265.959,264.922,264.79,0.5068836738547527
36,9,4,265.678,266.345,266.088,266.371,264.942,266.63,265.12,266.201,265.002,266.241,264.942,0.5065928693827328
36,9,5,266.118,265.213,265.292,264.924,265.264,266.197,266.219,264.975,265.167,266.153,264.924,0.5066272893358096
36,9,6,264.815,265.749,264.915,264.912,266.002,264.992,266.21,266.073,264.895,264.984,264.815,0.5068358212336914
36,9,7,300.311,264.992,264.823,266.474,265.295,266.256,265.591,266.954,266.02,266.103,264.823,0.5068205103031082
36,9,8,264.866,265.789,265.941,264.954,266.513,265.995,264.986,323.075,315.519,266.143,264.866,0.506738229897382
36,9,9,266.424,270.222,267.025,267.487,270.125,266.034,324.098,266.066,265.696,265.404,265.404,0.5057110216876912
36,9,10,265.504,265.47,265.404,265.421,265.633,265.46,265.406,265.469,265.708,265.663,265.404,0.5057110216876912
36,9,11,265.377,265.601,265.522,265.38,265.498,265.423,265.443,265.789,265.419,265.506,265.377,0.5057624737637398
36,9,12,265.485,265.606,265.811,321.777,266.169,267.367,265.049,266.153,264.881,264.835,264.835,0.5067975456416259
36,9,13,265.117,265.962,266.833,265.984,265.277,265.989,266.093,323.19,265.875,265.945,265.117,0.5062584745602885
36,9,14,264.878,264.815,265.887,269.024,266.109,266.091,264.98,274.2,264.912,264.939,264.815,0.5068358212336914
36,9,15,265.974,266.017,265.99,264.706,265.879,265.853,265.766,266.33,266.305,264.865,264.706,0.5070445248691001
36,9,16,264.81,322.68,322.708,264.931,265.402,264.955,268.545,266.092,265.999,265.969,264.81,0.5068453910350817
36,10,4,265.506,265.164,265.096,266.219,266.292,265.777,265.546,266.198,266.448,265.923,265.096,0.5062985786281197
36,10,5,266.279,265.088,266.005,266.235,266.272,265.99,266.36,265.672,265.301,264.971,264.971,0.5065374248502666
36,10,6,265.816,265.961,267.841,265.433,268.994,267.062,267.037,266.018,265.566,266.37,265.433,0.5056557700059903
36,10,7,267.269,265.947,265.845,278.781,265.608,266.199,266.316,267.17,266.401,265.95,265.608,0.505322610764736
36,10,8,267.477,267.291,265.858,265.757,266.621,265.542,266.292,265.936,265.461,265.852,265.461,0.5056024350092857
36,10,9,266.673,266.21,266.411,322.505,265.395,265.401,266.827,265.444,265.41,265.443,265.395,0.5057281712164886
36,10,10,265.362,265.492,265.423,268.417,265.39,266.984,271.392,265.399,265.4,265.858,265.362,0.5057910627746247
36,10,11,265.436,265.424,265.549,265.528,265.39,265.429,271.902,265.411,265.356,265.43,265.356,0.5058024992839808
36,10,12,265.469,265.397,265.493,265.455,265.404,265.43,266.645,265.614,265.408,265.735,265.397,0.5057243601095717
